Year,First Author,"Alloy, condition/form","Composition, wt%",c,"TA,
%",Exp,M,"CR,
mm/y",Ref,Mg,Fe,Al,Ca,Zn,Mn,Sn,Cu,In,Au,Y,V,Ti,Si,Ni,Nd,Ce,Gd,Ge,Sr,Zr,Sm,Pb,B,La,Pr,Li,Cd,Hg,RE
2019,Bahmani,"MgMnCa, XM11","Mg,0.52Mn,0.39Ca",B,0.9,"1, 7 d",Pw,1.7,18,1,,,0.4,,0.52,,,,,,,,,,,,,,,,,,,,,,,,
2019,Bahmani,"MgMnCa, XM11","Mg,0.52Mn,0.39Ca",B,0.9,"1, 0.5 h",Pi,0.64,18,1,,,0.4,,0.52,,,,,,,,,,,,,,,,,,,,,,,,
2019,Bahmani,"MgMnCaAl, AXM211","Mg,0.48Mn,0.42Ca,2.38Al",B,3.3,"1, 7 d",Pw,8.7,18,1,,2.38,0.4,,0.48,,,,,,,,,,,,,,,,,,,,,,,,
2019,Bahmani,"MgMnCaAl, AXM211","Mg,0.48Mn,0.42Ca,2.38Al",B,3.3,"1, 0.5 h",Pi,1.5,18,1,,2.38,0.4,,0.48,,,,,,,,,,,,,,,,,,,,,,,,
2019,Bahmani,"MgMnCaSn, TXM911","Mg,0.54Mn,0.49Ca,9.14Sn",B,10,"1, 7 d",Pw,8.8,18,1,,,0.49,,0.54,9.14,,,,,,,,,,,,,,,,,,,,,,,
2019,Bahmani,"MgMnCaSn , TXM911","Mg,0.54Mn,0.49Ca,9.14Sn",B,10,"l, 0.5 h",Pi,2,18,1,,,0.49,,0.54,9.14,,,,,,,,,,,,,,,,,,,,,,,
2019,Bahmani,"MgMnCaZn , ZXM411","Mg,0.56Mn,0.44Ca,3.90Zn",B,4.9,"1, 7 d",Pw,3.6,18,1,,,0.4,3.9,0.56,,,,,,,,,,,,,,,,,,,,,,,,
2019,Bahmani,"MgMnCaZn , ZXM411","Mg,0.56Mn,0.44Ca,3.90Zn",B,4.9,"l, 0.5 h",Pi,0.46,18,1,,,0.4,3.9,0.56,,,,,,,,,,,,,,,,,,,,,,,,
2019,Cao,"Pure Mg, ep","Mg,0.0028Fe",P,0.08,"2, 7d",PAH,0.5,19,1,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Cao,"Pure Mg, ep","Mg,0.0028Fe",B,0.08,"2, 7d","Pi,EIS",0.2,19,1,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Cao,"Pure Mg, ep","Mg,0.0028Fe",B,0.08,"3, 7d",PAH,16,19,1,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Cao,"Pure Mg, ep","Mg,0.0028Fe",B,0.08,"3, 7d","Pi,EIS",12,19,1,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Gore,Pure Mg,[Fe] < 0.001,P,0.06,"4, 1 d",Pw,0.8,20,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Gore,Pure Mg,[Fe] < 0.001,B,0.06,"4, 10 m",Pi,0.3,20,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Gore,Mg0.14In,"[Fe] = 0.002,0.14In",B,0.2,"4, 1 d",Pw,7,20,,0.002,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,
